sku,name,quantity,revenue,quantity_rank,value_rank,abc_class,avg_price,unit_cost,stock,gross_profit,gross_margin_percent,roi10_max_cpa_total_period,category,ads_score
350X8C,"Camara  ar 3,5 X 8 Colson",2.0,65.16,110,123,C,32.58,13.15,0.0,38.86,59.64,3.89,outros,3.13
V0210675,Massa F12 para Calafetar Madeira 400g Cerejeira Viapol,3.0,72.7,83,121,C,24.23,10.51,0.0,41.17,56.63,4.12,outros,2.89
CASTANHODBA,Massa F12 para Calafetar Madeira 400g Castanho Viapol,5.0,112.2,67,113,B,22.44,10.37,0.0,60.35,53.79,6.04,outros,2.74
V0217760,"Massa Paramadeira F-12 400G/0,225L Angelim - Viapol",3.0,66.0,84,122,C,22.0,10.0,0.0,36.0,54.55,3.6,outros,2.67
1C7Q-LKVS-MQQN,Rodizio de Gel Giratório Sem Freio 75mm Rolamento Soprano,14.0,258.16,31,86,A,18.44,10.0,0.0,118.16,45.77,11.82,rodizios,2.54
JVAQCQ55,Vaso Decorativo Plantas Antique 55 (75l) Cimento Queim Japi,5.0,2156.97,66,35,B,431.39,0.0,0.0,0.0,0.0,0.0,vasos,2.41
21049,Resistencia 3 Temperaturas 127v 5400w Enerducha Plus Up Pratimix,1.0,33.74,135,136,C,33.74,16.0,0.0,17.74,52.58,1.77,outros,2.34
V0210691,Massa F12 para Calafetar Madeira 400g Mogno Viapol,1.0,22.44,139,143,C,22.44,11.22,0.0,11.22,50.0,1.12,outros,2.07
PARAFUSO5X16,Parafuso 5x16,96.0,0.0,6,146,A,0.0,0.1,0.0,-9.6,0.0,0.0,outros,1.8
TVT/K-NOVO-2,Assento Sanitário Almofadado Avant/Fit/Versato/Angra Branco Astra,9.0,1215.0,38,53,B,135.0,0.0,0.0,0.0,0.0,0.0,assentos,1.67
06,Caixa Ferramentas Sanfonada 5 Gavetas 40x20x21 Cm N06 Fercar,8.0,1223.84,44,52,B,152.98,0.0,0.0,0.0,0.0,0.0,ferramentas,1.62
JVAQCQ56,Vaso Decorativo Plantas Antique 56 (46l) Cimento Queim Japi,4.0,1055.88,76,58,B,263.97,0.0,0.0,0.0,0.0,0.0,vasos,1.26
TVT-THEMA,Assento Almofadado Thema Incepa/hawaii Branco Astra,6.0,779.4,54,61,B,129.9,0.0,0.0,0.0,0.0,0.0,assentos,1.08
TVT/K,Assento Almofadado Branco Astra para Sanitários Avant/fit/versato/angra Astra,4.0,568.0,70,73,B,142.0,0.0,0.0,0.0,0.0,0.0,assentos,0.77
JVAQAC56,Vaso Decorativo Plantas Antique 56 (46l) Aco Corten Japi,2.0,601.69,109,69,C,300.85,0.0,0.0,0.0,0.0,0.0,vasos,0.7
AD/PS*BR,Suporte Shampoo Prateleiras Banheiro Sem Furo Astra Branco,5.0,316.4,118,124,B,63.28,0.0,0.0,0.0,0.0,0.0,outros,0.57
02,Caixa Ferramentas Bau Reto N02 40x16x15 Cm Bandeja Fercar,3.0,221.1,78,94,B,73.7,0.0,0.0,0.0,0.0,0.0,ferramentas,0.37
A6-PSZ7-0HCS,Japi Floreira Flat Cachepot 57 Chumbo 6L - JFQFE57 - Uso Interno e Externo - Cantos Retos - Garantia 10 Anos,2.0,258.0,91,87,C,129.0,0.0,0.0,0.0,0.0,0.0,vasos,0.36
04,Caixa Ferramentas Sanfonada 3 Gavetas 40x20x17 Cm N04 Fercar,2.0,231.1,104,90,C,115.55,0.0,0.0,0.0,0.0,0.0,ferramentas,0.33
F12BRANCAFBA,Padrão,3.0,152.93,85,104,C,50.98,0.0,0.0,0.0,0.0,0.0,outros,0.3
1C7Q-LKV8-WWYY,Assento Pp Plus Soft Close Suite Branco 3379880010100 Incepa,1.0,228.02,116,92,C,228.02,0.0,0.0,0.0,0.0,0.0,assentos,0.28
D5-DKK7-TVWT,Floreira FLAT 57 Preto Ardosia,1.0,154.08,143,103,C,154.08,0.0,0.0,0.0,0.0,0.0,vasos,0.2
PET/CAE-RSP,"Astra Pet, Caixa De Areia 46,5x36x11,7cm Pet Cães Gatos Rosa",2.0,87.99,89,117,C,43.99,0.0,0.0,0.0,0.0,0.0,outros,0.19
TVT-K,Assento Almofadado Avant/Fit/Versato/Angra Branco Astra Branco,1.0,137.61,125,106,C,137.61,0.0,0.0,0.0,0.0,0.0,assentos,0.19
MLB3553650977,Ducha Chuveirão Cascata Alumínio Capelacqua 6 Polegadas,1.0,135.82,129,107,C,135.82,0.0,0.0,0.0,0.0,0.0,outros,0.19
1C7Q-LKUB-0PQX,"Astra, Assento Sanitário Almofadado Thema Branco 01",1.0,129.9,115,108,C,129.9,0.0,0.0,0.0,0.0,0.0,assentos,0.18
16979,Caixa Organizadora 12 Gavetas  Parafusos Laranja Aquatools,1.0,127.42,124,109,C,127.42,0.0,0.0,0.0,0.0,0.0,outros,0.18
80CM,Kit 2 Vedantes Para Porta de Alumínio e Borracha Laminada 80/90/100 cm Veda Agua e Insetos - 80cm,1.0,45.9,120,128,C,45.9,0.0,0.0,0.0,0.0,0.0,vedantes,0.1
CXDESFBA,"Caixa de Descarga Elevada Branca com Volume Regulável de 6,8L a 9L Astra",1.0,47.9,128,127,C,47.9,0.0,0.0,0.0,0.0,0.0,outros,0.1
KIT-VEDANT-100,Aquatools Kit 2 Vedantes Porta Rodo Vedador 70/80/90/100cm Alumínio,1.0,45.0,141,129,C,45.0,0.0,0.0,0.0,0.0,0.0,vedantes,0.1
8M-MFX2-3HRZ,"Astra TPJ/AS*BR1 Assento Sanitário Soft, Branco",8.0,288.2,41,85,B,36.02,0.0,0.0,0.0,0.0,0.0,assentos,-2.31
1C7Q-LKUT-WROG,Massa para Calafetar Madeira F12 Ipe 400 g Viapol com 6,4.0,97.52,71,115,B,24.38,0.0,0.0,0.0,0.0,0.0,outros,-2.7
SKU-343577002,Chave Teste 140MM 100/500V,3.0,26.7,86,138,C,8.9,0.0,0.0,0.0,0.0,0.0,outros,-2.82
DESEMPENADEIRA-BORRACHA-18X30-CASTOR,Desempenadeira Com Borracha 18cm X 30cm,2.0,57.2,92,125,C,28.6,0.0,0.0,0.0,0.0,0.0,outros,-2.84
QK-282I-QOIO,"Robust Alicate Universal 8 Polegadas, Aço Forjado, Cabo Ergonômico, Uso Profissional",1.0,39.0,144,132,C,39.0,0.0,0.0,0.0,0.0,0.0,outros,-2.91
86617,Maçaneta Alavanca para Porta Aliança Cromada. 86617 Cor Inox,1.0,31.12,130,137,C,31.12,0.0,0.0,0.0,0.0,0.0,outros,-2.92
80,"Vedante para Porta Rodo Vedador 80, 90 ou 100cm Aluminio - 80",1.0,23.9,122,140,C,23.9,0.0,0.0,0.0,0.0,0.0,vedantes,-2.93
M8-9W1Z-2EFT,"Massa P/Madeira F-12 400G/0,225L Sucupira - Viapol",1.0,22.41,134,144,C,22.41,0.0,0.0,0.0,0.0,0.0,outros,-2.93
PC-MFZR-W69S,Massa F12 para Calafetar Madeira 400g Marfim,1.0,23.43,136,141,C,23.43,0.0,0.0,0.0,0.0,0.0,outros,-2.93
